doc_id,batch_id,file_name,title,year,authors_or_orgs,publishing_org_id,publisher,document_type,source_url,doi,apa_reference,in_text_citation,bibliography_status,notes,candidate_status,candidate_confidence,candidate_source_url,candidate_pdf_url,candidate_uploaded_pdf_match,candidate_apa_reference,candidate_notes,manual_review_next_step,previous_doc_id,apa_source_url_used,apa_source_basis,apa_completion_status
DOC-011,Batch 09,Soy-risk-analysis-in-Brazil-for-EUDR_2021-22.pdf,"SOY RISK 2022 Report, Apresentação do PowerPoint",2022.0,Agrosatélite,ORG-004,,PDF,https://agrosatelite.com.br/,,"Agrosatélite. (2022). SOY RISK 2022 Report, Apresentação do PowerPoint. https://agrosatelite.com.br/","(Agrosatélite, 2022)",Verified,,,,,,,,,,,https://agrosatelite.com.br/,official_org_landing_page_fallback,APA complete - org landing page fallback; verify exact publication URL
DOC-012,Batch 09,CDP_Full_Corporate_Scoring_Methodology_2025_-_Forests.pdf,Full Corporate Scoring Methodology – Forests,2025.0,Carbon Disclosure Project (CDP.net),ORG-006,,PDF,https://assets.ctfassets.net/v7uy4j80khf8/tx9Ydi2dYFSdAzZXJqbQZ/47034be6390c37bb789933327544239f/CDP_Full_Corporate_Scoring_Methodology_2025_-_Forests.pdf,,CDP. (2025). Full Corporate Scoring Methodology – Forests. https://assets.ctfassets.net/v7uy4j80khf8/tx9Ydi2dYFSdAzZXJqbQZ/47034be6390c37bb789933327544239f/CDP_Full_Corporate_Scoring_Methodology_2025_-_Forests.pdf,"(CDP, 2025)",Verified,Reconciliation: High URL filename score=1.0; title_score=0.667. | One-to-one rerun: retained as the unique assignment for this PDF.,,,,,,,,,DOC-016,https://assets.ctfassets.net/v7uy4j80khf8/tx9Ydi2dYFSdAzZXJqbQZ/47034be6390c37bb789933327544239f/CDP_Full_Corporate_Scoring_Methodology_2025_-_Forests.pdf,source_url,APA complete - public source URL
DOC-013,Batch 09,INVESTMENTS_FOR_IMPACT_AND_RESILIENCE_Landscape_Guide_2025_compressed-1.pdf,INVESTMENTS: A Coffee Industry Guidebook on Landscape and Jurisdictional Initiaves,2025.0,Conservation International,ORG-007,,PDF,https://www.conservation.org/,,Conservation International. (2025). INVESTMENTS: A Coffee Industry Guidebook on Landscape and Jurisdictional Initiaves. https://www.conservation.org/,"(Conservation International, 2025)",Verified,,,,,,,,,,,https://www.conservation.org/,official_org_landing_page_fallback,APA complete - org landing page fallback; verify exact publication URL
DOC-014,Batch 09,CGF-FPC-Soy-DCF-Methodology-v0.pdf,CGF FPC Soy DCF Methodology v0,,Consumer Goods Forum (CGF),ORG-008,,PDF,https://www.theconsumergoodsforum.com/wp-content/uploads/2023/02/CGF-FPC-Soy-DCF-Methodology-v0.pdf,,Consumer Goods Forum. (n.d.). CGF FPC Soy DCF Methodology v0. https://www.theconsumergoodsforum.com/wp-content/uploads/2023/02/CGF-FPC-Soy-DCF-Methodology-v0.pdf,"(Consumer Goods Forum, n.d.)",Verified,,,,,,,,,,,https://www.theconsumergoodsforum.com/wp-content/uploads/2023/02/CGF-FPC-Soy-DCF-Methodology-v0.pdf,web_verified_or_official_filename_url_map,APA complete - public source URL
DOC-015,Batch 09,CGF-FPC-Soy-Roadmap-Guidance.pdf,CGF FPC Soy Roadmap Guidance,,Consumer Goods Forum (CGF),ORG-008,,PDF,https://www.theconsumergoodsforum.com/wp-content/uploads/2023/02/CGF-FPC-Soy-Roadmap-Guidance.pdf,,Consumer Goods Forum. (n.d.). CGF FPC Soy Roadmap Guidance. https://www.theconsumergoodsforum.com/wp-content/uploads/2023/02/CGF-FPC-Soy-Roadmap-Guidance.pdf,"(Consumer Goods Forum, n.d.)",Verified,,,,,,,,,,,https://www.theconsumergoodsforum.com/wp-content/uploads/2023/02/CGF-FPC-Soy-Roadmap-Guidance.pdf,web_verified_or_official_filename_url_map,APA complete - public source URL
DOC-016,Batch 09,CGF-Forest-Positive-Beef-Roadmap-Guidance-V1.2.pdf,CGF Forest Positive Beef Roadmap Guidance V1.2,,Consumer Goods Forum (CGF),ORG-008,,PDF,https://www.theconsumergoodsforum.com/wp-content/uploads/2024/04/CGF-Forest-Positive-Beef-Roadmap-Guidance-V1.2.pdf,,Consumer Goods Forum. (n.d.). CGF Forest Positive Beef Roadmap Guidance V1.2. https://www.theconsumergoodsforum.com/wp-content/uploads/2024/04/CGF-Forest-Positive-Beef-Roadmap-Guidance-V1.2.pdf,"(Consumer Goods Forum, n.d.)",Verified,,,,,,,,,,,https://www.theconsumergoodsforum.com/wp-content/uploads/2024/04/CGF-Forest-Positive-Beef-Roadmap-Guidance-V1.2.pdf,web_verified_or_official_filename_url_map,APA complete - public source URL
DOC-017,Batch 09,giz2024-en-AgriChains-Brazil.pdf,Project AgriChains Brazil: Sustainable Soy Supply Chain,2024.0,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH,ORG-010,,PDF,https://www.giz.de/de/downloads/giz2024-en-AgriChains-Brazil.pdf,,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH. (2024). Project AgriChains Brazil: Sustainable Soy Supply Chain. https://www.giz.de/de/downloads/giz2024-en-AgriChains-Brazil.pdf,"(Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH, 2024)",Matched to uploaded PDF (unique),"Reconciliation: High URL filename score=1.0; title_score=0.164. URL/filename match, but APA title appears inconsistent with PDF title; manual review recommended | One-to-one rerun: retained as the unique assignment for this PDF.",,,,,,,,,DOC-085,https://www.giz.de/de/downloads/giz2024-en-AgriChains-Brazil.pdf,source_url,APA complete - public source URL
DOC-018,Batch 09,ILM_Practical_Guide_DEC22.pdf,ILM Practical Guide DEC22,2022.0,EcoAgriculture Partners,ORG-012,,PDF,https://landscapes.global/wp-content/uploads/2022/12/ILM_Practical_Guide_DEC22.pdf,,EcoAgriculture Partners. (2022). ILM Practical Guide DEC22. https://landscapes.global/wp-content/uploads/2022/12/ILM_Practical_Guide_DEC22.pdf,"(EcoAgriculture Partners, 2022)",Verified,,,,,,,,,,,https://landscapes.global/wp-content/uploads/2022/12/ILM_Practical_Guide_DEC22.pdf,web_verified_or_official_filename_url_map,APA complete - public source URL
DOC-019,Batch 09,Econometrica Review-of-Deforestation-Risk-Maps-1.pdf,Econometrica Review of Deforestation Risk Maps 1,,Econometrica,ORG-013,,PDF,https://www.econometricainc.com/,,Econometrica. (n.d.). Econometrica Review of Deforestation Risk Maps 1. https://www.econometricainc.com/,"(Econometrica, n.d.)",Verified,,,,,,,,,,,https://www.econometricainc.com/,official_org_landing_page_fallback,APA complete - org landing page fallback; verify exact publication URL
DOC-020,Batch 07,211224_herewegrow_enveritas_deforestation_white-paper_web.pdf,211224 herewegrow enveritas deforestation white paper web,,Enveritas,ORG-014,,PDF,https://www.enveritas.org/,,Enveritas. (n.d.). 211224 herewegrow enveritas deforestation white paper web. https://www.enveritas.org/,"(Enveritas, n.d.)",Verified,,,,,,,,,,,https://www.enveritas.org/,official_org_landing_page_fallback,APA complete - org landing page fallback; verify exact publication URL
DOC-021,Batch 09,Palm-sector-supply-chain-guidance.pdf,Sector supply-chain guidance – palm,,European Bank for Reconstruction and Development (EBRD),ORG-015,,PDF,https://www.ebrd.com/content/dam/ebrd_dxp/assets/pdfs/financial-institution/sustainable-finance/environmental-and-social-risk-management/issues/Palm-sector-supply-chain-guidance.pdf,,European Bank for Reconstruction and Development. (n.d.). Sector supply-chain guidance – palm. https://www.ebrd.com/content/dam/ebrd_dxp/assets/pdfs/financial-institution/sustainable-finance/environmental-and-social-risk-management/issues/Palm-sector-supply-chain-guidance.pdf,"(European Bank for Reconstruction and Development, n.d.)",Verified,,,,,,,,,,,https://www.ebrd.com/content/dam/ebrd_dxp/assets/pdfs/financial-institution/sustainable-finance/environmental-and-social-risk-management/issues/Palm-sector-supply-chain-guidance.pdf,web_verified_or_official_filename_url_map,APA complete - public source URL
DOC-022,Batch 08,EU_Regulation_on_Deforestation-Free_Products-_Operational_.pdf,Regulation on deforestation-free products,2025.0,European Commission,ORG-016,,PDF,https://environment.ec.europa.eu/topics/forests/deforestation/regulation-deforestation-free-products_en,,European Commission. (2025). Regulation on deforestation-free products. https://environment.ec.europa.eu/topics/forests/deforestation/regulation-deforestation-free-products_en,"(European Commission, 2025)",Verified,Reconciliation: High fuzzy score=0.845; title_score=0.394. | One-to-one rerun: retained as the unique assignment for this PDF.,,,,,,,,,DOC-017,https://environment.ec.europa.eu/topics/forests/deforestation/regulation-deforestation-free-products_en,source_url,APA complete - public source URL
DOC-023,Batch 07,C_2025_2485_F1_ANNEX_EN_V3_P1_4056628.pdf,GUIDANCE  DOCUMENT 1 FOR REGULATION ( 2023/1115 ON DEFORESTATION FREE PRODUCTS,2023.0,European Commission,ORG-016,,PDF,https://green-forum.ec.europa.eu/nature-and-biodiversity/deforestation-regulation-implementation_en,,European Commission. (2023). GUIDANCE  DOCUMENT 1 FOR REGULATION ( 2023/1115 ON DEFORESTATION FREE PRODUCTS. https://green-forum.ec.europa.eu/nature-and-biodiversity/deforestation-regulation-implementation_en,"(European Commission, 2023)",Verified,,,,,,,,,,,https://green-forum.ec.europa.eu/nature-and-biodiversity/deforestation-regulation-implementation_en,official_org_landing_page_fallback,APA complete - org landing page fallback; verify exact publication URL
DOC-024,Batch 08,EUDR preparedness check CIV_EN.pdf,Cocoa Insight,,European Forest Institute (EFI),ORG-017,,PDF,https://efi.int/,,European Forest Institute. (n.d.). Cocoa Insight. https://efi.int/,"(European Forest Institute, n.d.)",Verified,,,,,,,,,,,https://efi.int/,official_org_landing_page_fallback,APA complete - org landing page fallback; verify exact publication URL
DOC-025,Batch 09,CELEX_32023R1115_EN_TXT.pdf,CELEX 32023R1115 EN TXT,2023.0,European Parlaiment and Council,ORG-018,,PDF,https://eur-lex.europa.eu/eli/reg/2023/1115/oj,,European Parliament and Council. (2023). CELEX 32023R1115 EN TXT. https://eur-lex.europa.eu/eli/reg/2023/1115/oj,"(European Parliament and Council, 2023)",Verified,,,,,,,,,,,https://eur-lex.europa.eu/eli/reg/2023/1115/oj,official_org_landing_page_fallback,APA complete - org landing page fallback; verify exact publication URL
DOC-026,Batch 05,Farmforce - The 2026 Traceability Barometer.pdf,Farmforce The 2026 Traceability Barometer,2026.0,Farmforce,ORG-019,,PDF,https://farmforce.com/,,Farmforce. (2026). Farmforce The 2026 Traceability Barometer. https://farmforce.com/,"(Farmforce, 2026)",Verified,,,,,,,,,,,https://farmforce.com/,official_org_landing_page_fallback,APA complete - org landing page fallback; verify exact publication URL
DOC-027,Batch 09,DIASCA_Forest_Monitoring_Guidance1.pdf,DIASCA Forest Monitoring Guidance,,Forest Data Partnership,ORG-020,,PDF,https://www.nachhaltige-agrarlieferketten.org/fileadmin/INA/diasca/DIASCA_Forest_Monitoring_Guidance1.pdf,,Forest Data Partnership. (n.d.). DIASCA Forest Monitoring Guidance. https://www.nachhaltige-agrarlieferketten.org/fileadmin/INA/diasca/DIASCA_Forest_Monitoring_Guidance1.pdf,"(Forest Data Partnership, n.d.)",Verified - user linked official PDF URL,User-provided PDF URL added; direct URL filename matches uploaded Batch_09/DIASCA_Forest_Monitoring_Guidance1.pdf. Year not confirmed from web in this pass.,official_pdf_found_matches_uploaded_pdf,High,https://www.nachhaltige-agrarlieferketten.org/fileadmin/INA/diasca/DIASCA_Forest_Monitoring_Guidance1.pdf,https://www.nachhaltige-agrarlieferketten.org/fileadmin/INA/diasca/DIASCA_Forest_Monitoring_Guidance1.pdf,Batch_09/DIASCA_Forest_Monitoring_Guidance1.pdf,Forest Data Partnership. (n.d.). DIASCA Forest Monitoring Guidance.,User supplied the official INA/DIASCA PDF URL; filename matches the previously unmatched uploaded PDF. Treat as active PDF-backed B1 record pending any later APA/year refinement.,Confirm publication year/APA details during manual review; otherwise ready for PDF protocol inclusion.,DOC-086,https://www.nachhaltige-agrarlieferketten.org/fileadmin/INA/diasca/DIASCA_Forest_Monitoring_Guidance1.pdf,source_url,APA complete - public source URL
DOC-028,Batch 09,RegModule_ExplanatoryMaterials.pdf,FSC Regulatory Module,,Forest Stewardship Council (FSC),ORG-021,,PDF,https://static1.squarespace.com/static/65a5120f06652261eec4b6a4/t/66a9085c18ce6421fb8df54e/1722353757645/RegModule_ExplanatoryMaterials.pdf,,Forest Stewardship Council. (n.d.). FSC Regulatory Module. https://static1.squarespace.com/static/65a5120f06652261eec4b6a4/t/66a9085c18ce6421fb8df54e/1722353757645/RegModule_ExplanatoryMaterials.pdf,"(Forest Stewardship Council, n.d.)",Verified,Reconciliation: High URL filename score=1.0; title_score=0.656. | One-to-one rerun: retained as the unique assignment for this PDF.,,,,,,,,,DOC-020,https://static1.squarespace.com/static/65a5120f06652261eec4b6a4/t/66a9085c18ce6421fb8df54e/1722353757645/RegModule_ExplanatoryMaterials.pdf,source_url,APA complete - public source URL
DOC-029,Batch 09,01092021_FSC-STD-40-004_V3-1_EN_FINAL.pdf,01092021 FSC STD 40 004 V3 1 EN FINAL,2021.0,Forest Stewardship Council (FSC),ORG-021,,PDF,https://open.fsc.org/handle/resource/302,,Forest Stewardship Council. (2021). 01092021 FSC STD 40 004 V3 1 EN FINAL. https://open.fsc.org/handle/resource/302,"(Forest Stewardship Council, 2021)",Verified,,,,,,,,,,,https://open.fsc.org/handle/resource/302,web_verified_or_official_filename_url_map,APA complete - public source URL
DOC-030,Batch 09,2024_Forest_500_FI_Assessment_Methodology.pdf,Assessment methodology,2024.0,Global Canopy,ORG-022,,PDF,https://forest500.org/publications/assessment-methodology-2024/,,Global Canopy. (2024). Assessment methodology. https://forest500.org/publications/assessment-methodology-2024/,"(Global Canopy, 2024)",Verified,Reconciliation: High fuzzy score=0.748; title_score=0.698. | One-to-one rerun: retained as the unique assignment for this PDF.,,,,,,,,,DOC-025,https://forest500.org/publications/assessment-methodology-2024/,source_url,APA complete - public source URL
DOC-031,Batch 06,Forest500_Report_2025.pdf,Forest 500 Report,2025.0,Global Canopy,ORG-022,,PDF,https://forest500.org/wp-content/uploads/2025/04/Forest500_Report_2025.pdf,,Global Canopy. (2025). Forest 500 Report. https://forest500.org/wp-content/uploads/2025/04/Forest500_Report_2025.pdf,"(Global Canopy, 2025)",Verified,Reconciliation: High URL filename score=1.0; title_score=0.366. | One-to-one rerun: retained as the unique assignment for this PDF.,,,,,,,,,DOC-026,https://forest500.org/wp-content/uploads/2025/04/Forest500_Report_2025.pdf,source_url,APA complete - public source URL
DOC-032,,,EUDR Guidance and Recommendations,2024.0,Global Coffee Platform (GCP),ORG-023,,PDF,https://www.globalcoffeeplatform.org/eudr-guidance-and-recommendations/,,Global Coffee Platform. (2024). EUDR Guidance and Recommendations. https://www.globalcoffeeplatform.org/eudr-guidance-and-recommendations/,"(Global Coffee Platform, 2024)",No unique PDF match - manual review,One-to-one rerun: cleared previous candidate 'EU-deforestation-regulation-Key-principles-and-recommendations.pdf' because it was assigned to DOC-053 as the more likely match.,official_webpage_download_gated_or_not_uploaded,High,https://www.globalcoffeeplatform.org/eudr-guidance-and-recommendations/,,,Global Coffee Platform. (2024). EUDR Guidance and Recommendations.,Official GCP page says the EUDR guidance is accessed through a request-download form; no public direct PDF filename matched to uploaded PDFs.,Mark as webpage-only or keep out of PDF word-count execution.,DOC-027,https://www.globalcoffeeplatform.org/eudr-guidance-and-recommendations/,source_url,APA complete - public source URL
DOC-033,Batch 08,EM_2.0_EN-1.pdf,"EQUIVALENCE  MECHANISM, Ensuring schemes meet the Coffee Sustainability Reference Code",,Global Coffee Platform (GCP),ORG-023,,PDF,https://www.globalcoffeeplatform.org/,,"Global Coffee Platform. (n.d.). EQUIVALENCE  MECHANISM, Ensuring schemes meet the Coffee Sustainability Reference Code. https://www.globalcoffeeplatform.org/","(Global Coffee Platform, n.d.)",Verified,,,,,,,,,,,https://www.globalcoffeeplatform.org/,official_org_landing_page_fallback,APA complete - org landing page fallback; verify exact publication URL
DOC-034,Converted Sources,DOC-029_GPSNR_Reporting_Requirements_2024.pdf,GPSNR Reporting Requirements (converted from Excel),2024.0,Global Platform for Sustainable Natural Rubber (GPSNR),ORG-024,,PDF - converted source,https://sustainablenaturalrubber.org/gpsnr-reporting-requirements/,,Global Platform for Sustainable Natural Rubber. (2024). GPSNR Reporting Requirements (converted from Excel). https://sustainablenaturalrubber.org/gpsnr-reporting-requirements/,"(Global Platform for Sustainable Natural Rubber, 2024)",Verified - user supplied converted source file,Reconciliation: High fuzzy score=0.69; title_score=0.452. | One-to-one rerun: retained as the unique assignment for this PDF. | User supplied converted source file on 2026-05-13: DOC-029_GPSNR_Reporting_Requirements_2024.pdf. Attach as retained PDF-backed record for consistent protocol handling.,user_supplied_converted_source_file,User verified,https://sustainablenaturalrubber.org/gpsnr-reporting-requirements/,,DOC-029_GPSNR_Reporting_Requirements_2024.pdf,GPSNR. (2024). Reporting Requirements.,Resolved by user-supplied converted PDF capture of the cited webpage/resource.,Retain in active corpus; no web/PDF matching required.,DOC-029,https://sustainablenaturalrubber.org/gpsnr-reporting-requirements/,source_url,APA complete - public source URL
DOC-035,Batch 09,Google Cloud NGIS Tracemark 2023.pdf,TraceMark sustainable sourcing monitoring runs on Google Cloud,2023.0,Google and NGIS,ORG-025,,PDF,https://cloud.google.com/blog/products/data-analytics/sustainable-supply-chains-start-with-a-data-sharing-ecosystem,,Google and NGIS. (2023). TraceMark sustainable sourcing monitoring runs on Google Cloud. https://cloud.google.com/blog/products/data-analytics/sustainable-supply-chains-start-with-a-data-sharing-ecosystem,"(Google and NGIS, 2023)",Verified,Reconciliation: Medium fuzzy score=0.479; title_score=0.348. | One-to-one rerun: retained as the unique assignment for this PDF.,,,,,,,,,DOC-028,https://cloud.google.com/blog/products/data-analytics/sustainable-supply-chains-start-with-a-data-sharing-ecosystem,source_url,APA complete - public source URL
DOC-036,Batch 09,Guia-Cumprimento-Protocolo-de-Monitoramento.pdf,PROTOCOLO DE MONITORAMENTO DE FORNECEDORES DE GADO DA AMAZÔNIA,,Government of Brazil,ORG-026,,PDF,https://www.gov.br/,,Government of Brazil. (n.d.). PROTOCOLO DE MONITORAMENTO DE FORNECEDORES DE GADO DA AMAZÔNIA. https://www.gov.br/,"(Government of Brazil, n.d.)",Verified,,,,,,,,,,,https://www.gov.br/,official_org_landing_page_fallback,APA complete - org landing page fallback; verify exact publication URL
DOC-037,Batch 07,HCSA-Toolkit-v2.0-Module-4-Forest-and-vegetation-stratification-1.pdf,"Law No. 12,651 (Forest Code / Native Vegetation Protection Law)",2012.0,Government of Brazil,ORG-026,,PDF,https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2012/lei/l12651.htm,,"Government of Brazil. (2012). Law No. 12,651 (Forest Code / Native Vegetation Protection Law). https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2012/lei/l12651.htm","(Government of Brazil, 2012)",Verified,Reconciliation: Medium fuzzy score=0.547; title_score=0.322. | One-to-one rerun: retained as the unique assignment for this PDF.,,,,,,,,,DOC-013,https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2012/lei/l12651.htm,source_url,APA complete - public source URL
