org_id,canonical_org_name,apa_author_form,alternative_names,publisher_role,country_or_region,website_url,linked_doc_ids,bibliography_alignment_status,notes
ORG-013,Econometrica,Econometrica,"Econometrica Ltd; Econometrica, Inc.",research / analytics organization,United Kingdom / United States,https://www.econometrica.co.uk/,DOC-019,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-014,Enveritas,Enveritas,"Enveritas, Inc.",sustainability assurance / data organization,Global / United States,https://www.enveritas.org/,DOC-020,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-015,European Bank for Reconstruction and Development (EBRD),European Bank for Reconstruction and Development,EBRD,multilateral development bank / publisher,Europe / Global,https://www.ebrd.com/,DOC-021,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-016,European Commission,European Commission,EC; Commission européenne,EU institution / publisher,European Union,https://commission.europa.eu/,DOC-022; DOC-023,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-017,European Forest Institute (EFI),European Forest Institute,EFI,research institute / publisher,Europe,https://efi.int/,DOC-024,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-018,European Parlaiment and Council,European Parliament and Council,European Parliament; Council of the European Union; European Parliament and the Council,EU institutions / legislative publisher,European Union,https://eur-lex.europa.eu/,DOC-025,linked_to_B1,"Review spelling: user list says European Parlaiment and Council; APA/legal citation usually uses European Parliament and Council. Seeded from web, not from corpus PDFs."
ORG-019,Farmforce,Farmforce,Farmforce AS,software / traceability platform,Global / Norway,https://farmforce.com/,DOC-026,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-020,Forest Data Partnership,Forest Data Partnership,FDP,data partnership / platform,Global,https://forestdatapartnership.org/,DOC-027,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-021,Forest Stewardship Council (FSC),Forest Stewardship Council,FSC,standard system / publisher,Global,https://fsc.org/,DOC-028; DOC-029,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-022,Global Canopy,Global Canopy,Global Canopy Programme,NGO / publisher,Global / United Kingdom,https://globalcanopy.org/,DOC-030; DOC-031,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-023,Global Coffee Platform (GCP),Global Coffee Platform,GCP,sector platform / publisher,Global,https://www.globalcoffeeplatform.org/,DOC-032; DOC-033,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-024,Global Platform for Sustainable Natural Rubber (GPSNR),Global Platform for Sustainable Natural Rubber,GPSNR,multi-stakeholder platform / publisher,Global,https://sustainablenaturalrubber.org/,DOC-034,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-025,Google and NGIS,Google and NGIS,Google; NGIS; Google Earth Engine; Google Cloud; Next Generation Information Systems,technology partners / data platform,Global / Australia,https://earthengine.google.com/; https://ngis.com.au/,DOC-035,linked_to_B1,"Joint organization entry with two official URLs; confirm whether this should remain one org record or split into Google and NGIS. Seeded from web, not from corpus PDFs."
ORG-026,Government of Brazil,Government of Brazil,Brazilian Government; Governo do Brasil; Governo Federal do Brasil,government / publisher,Brazil,https://www.gov.br/,DOC-036; DOC-037,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-027,Greenhouse Gas Protocol (GHG-P),Greenhouse Gas Protocol,GHG Protocol; GHG-P,standard / guidance publisher,Global,https://ghgprotocol.org/,DOC-038; DOC-039; DOC-040; DOC-041; DOC-042,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-028,Grupo de Trabalho de Fornecedores Indiretos (GTFI),Grupo de Trabalho de Fornecedores Indiretos,GTFI; Working Group of Indirect Suppliers,working group / guidance publisher,Brazil,https://gtfi.org.br/,DOC-043,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-029,High Carbon Value (HCV) Network,High Conservation Value Network,HCV Network; High Carbon Value Network; High Conservation Value Resource Network,standard / guidance network,Global,https://www.hcvnetwork.org/,DOC-044; DOC-045; DOC-046; DOC-047; DOC-048,linked_to_B1,"Review canonical name: user list says High Carbon Value (HCV) Network; official organization is commonly High Conservation Value Network. Seeded from web, not from corpus PDFs."
ORG-030,IDH The Sustainable Trade Initiative,"IDH, The Sustainable Trade Initiative",IDH; The Sustainable Trade Initiative,sustainable trade organization / publisher,Global / Netherlands,https://www.idhsustainabletrade.com/,DOC-049; DOC-050; DOC-051; DOC-052; DOC-053; DOC-054; DOC-055,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-031,IMAFLORA (Instituto de Manejo e Certificação Florestal e Agrícola),Instituto de Manejo e Certificação Florestal e Agrícola,IMAFLORA; Imaflora,NGO / certification and guidance publisher,Brazil,https://www.imaflora.org/,DOC-056; DOC-057; DOC-058; DOC-059; DOC-060,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-032,"Intercontinental Exchange, Inc. (ICE)","Intercontinental Exchange, Inc.",ICE,exchange / data provider,Global / United States,https://www.ice.com/,DOC-061; DOC-062,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-033,iSEAL,ISEAL,ISEAL Alliance; iSEAL,standard systems alliance / guidance publisher,Global / United Kingdom,https://www.isealalliance.org/,DOC-063; DOC-064; DOC-065; DOC-066; DOC-067; DOC-113,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-034,Louis Dreyfus Company (LDC),Louis Dreyfus Company,LDC,commodity company / report publisher,Global,https://www.ldc.com/,DOC-068,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-035,Meridia.Land,Meridia,Meridia.Land; Meridia Land; Meridia,land-data services / publisher,Global / Netherlands,https://www.meridia.land/,DOC-069; DOC-070; DOC-071; DOC-072,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-036,National Wildlife Federation (NWF),National Wildlife Federation,NWF,conservation NGO / publisher,United States / Global,https://www.nwf.org/,DOC-073,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-037,NDPE Implementation Reporting Framework,NDPE Implementation Reporting Framework,NDPE IRF; Implementation Reporting Framework,reporting framework / guidance publisher,Global,https://ndpe-irf.net/,DOC-074,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-039,Olam International Group ,Olam Group,Olam International; Olam International Group; ofi; Olam Food Ingredients,company / report publisher,Global / Singapore,https://www.olamgroup.com/,DOC-076,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-040,orbify,Orbify,orbify,geospatial platform,Global,https://www.orbify.com/,DOC-077,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-041,Organisation for Economic Co-operation and Development (OECD),Organisation for Economic Co-operation and Development,OECD,intergovernmental organization / publisher,Global,https://www.oecd.org/,DOC-078,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-043,Partnerships for Forests,Partnerships for Forests,P4F,development programme / publisher,Global / United Kingdom,https://partnershipsforforests.com/,DOC-080,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-044,Preferred by Nature,Preferred by Nature,NEPCon; Nature Economy and People Connected,certification / guidance publisher,Global,https://preferredbynature.org/,DOC-075; DOC-081; DOC-082; DOC-083; DOC-084; DOC-085; DOC-086,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-045,Proforest,Proforest,Proforest Initiative,responsible sourcing organization / publisher,Global / United Kingdom,https://www.proforest.net/,DOC-087; DOC-088; DOC-089; DOC-091; DOC-092; DOC-093; DOC-094; DOC-095,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-046,Quantis,Quantis,Quantis International,sustainability consultancy / publisher,Global,https://quantis.com/,DOC-096,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-047,RaboFoundation,Rabo Foundation,Rabobank Foundation; RaboFoundation,foundation / report publisher,Global / Netherlands,https://www.rabobank.com/en/about-rabobank/rabofoundation,DOC-072,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-048,Rainforest Alliance,Rainforest Alliance,RA,standard system / NGO / publisher,Global,https://www.rainforest-alliance.org/,DOC-097; DOC-098; DOC-099,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-049,Roundtable on Sustainable Palm Oil (RSPO),Roundtable on Sustainable Palm Oil,RSPO,standard system / publisher,Global,https://rspo.org/,DOC-100; DOC-101,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-051,Satelligence,Satelligence,Satelligence B.V.,satellite monitoring / analytics provider,Global / Netherlands,https://satelligence.com/,DOC-102; DOC-103,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-052,Soy Moratorium Working Group,Soy Moratorium Working Group,Grupo de Trabalho da Moratória da Soja; GTS; Soy Moratorium,working group / initiative,Brazil,https://abiove.org.br/en/sustainability/soy-moratorium/,DOC-104,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-053,Stockholm Environment Institute (SEI),Stockholm Environment Institute,SEI,research institute / publisher,Global / Sweden,https://www.sei.org/,DOC-105,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-056,The Nature Conservancy (TNC),The Nature Conservancy,TNC,conservation NGO / publisher,Global / United States,https://www.nature.org/,DOC-106,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-057,TRASE,Trase,Transparency for Sustainable Economies; Trase Earth,supply chain transparency platform,Global,https://www.trase.earth/,DOC-095; DOC-107; DOC-108,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-058,Tropical Forest Alliance (TFA),Tropical Forest Alliance,TFA,multi-stakeholder alliance / publisher,Global,https://www.tropicalforestalliance.org/,DOC-109,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-059,UN Food and Agriculture Organization (FAO),Food and Agriculture Organization of the United Nations,FAO; UN FAO; Food and Agriculture Organization,UN agency / publisher,Global,https://www.fao.org/,DOC-078; DOC-110; DOC-111; DOC-112,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-060,Value Change Initiative (VCI) ,Value Change Initiative,VCI; Value Change Initiative,GHG accounting initiative / publisher,Global,https://valuechangeinitiative.com/,DOC-113,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-061,Verra,Verra,Verified Carbon Standard; VCS,standard system / publisher,Global / United States,https://verra.org/,DOC-114; DOC-115,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-062,WBCSD Soft Commodity Forum (SCF),World Business Council for Sustainable Development,WBCSD; Soft Commodities Forum; SCF,business council / platform,Global,https://www.wbcsd.org/actions/soft-commodities-forum/,DOC-116; DOC-117,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-063,World Cocoa Foundation (WCF),World Cocoa Foundation,WCF,sector foundation / publisher,Global / United States,https://www.worldcocoafoundation.org/,DOC-096; DOC-118; DOC-119,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-064,World Resource Institute Brasil,World Resources Institute Brasil,WRI Brasil; World Resources Institute Brazil,research NGO / publisher,Brazil,https://www.wribrasil.org.br/,DOC-120,linked_to_B1,"Review spelling: user list says World Resource Institute Brasil; official name appears as World Resources Institute Brasil / WRI Brasil. Seeded from web, not from corpus PDFs."
ORG-065,World Resources Institute (WRI),World Resources Institute,WRI,research NGO / publisher,Global / United States,https://www.wri.org/,DOC-121; DOC-122; DOC-123,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
ORG-066,World Wildlife Fund  (WWF),World Wildlife Fund,WWF; World Wide Fund for Nature,conservation NGO / publisher,Global / United States,https://www.worldwildlife.org/,DOC-124; DOC-125; DOC-126,linked_to_B1,Seeded from user-curated canonical organization list; official URL/descriptive fields should be considered canonical candidates and manually reviewed where flagged. Not derived from PDF metadata or prior matches.
