doc_id,batch_id,file_name,title,year,authors_or_orgs,publishing_org_id,document_type,source_url,apa_reference,text_extraction_status,page_count,extracted_char_count,pdf_path,path_basis,protocol_inclusion
DOC-011,Batch 09,Soy-risk-analysis-in-Brazil-for-EUDR_2021-22.pdf,"SOY RISK 2022 Report, Apresentação do PowerPoint",2022.0,Agrosatélite,ORG-004,PDF,https://agrosatelite.com.br/,"Agrosatélite. (2022). SOY RISK 2022 Report, Apresentação do PowerPoint. https://agrosatelite.com.br/",extracted,17.0,7188,/mnt/data/_corpus_extracted/Batch 09/Soy-risk-analysis-in-Brazil-for-EUDR_2021-22.pdf,batch_file_exact,counted_in_v1.3
DOC-012,Batch 09,CDP_Full_Corporate_Scoring_Methodology_2025_-_Forests.pdf,Full Corporate Scoring Methodology – Forests,2025.0,Carbon Disclosure Project (CDP.net),ORG-006,PDF,https://assets.ctfassets.net/v7uy4j80khf8/tx9Ydi2dYFSdAzZXJqbQZ/47034be6390c37bb789933327544239f/CDP_Full_Corporate_Scoring_Methodology_2025_-_Forests.pdf,CDP. (2025). Full Corporate Scoring Methodology – Forests. https://assets.ctfassets.net/v7uy4j80khf8/tx9Ydi2dYFSdAzZXJqbQZ/47034be6390c37bb789933327544239f/CDP_Full_Corporate_Scoring_Methodology_2025_-_Forests.pdf,extracted,342.0,449909,/mnt/data/_corpus_extracted/Batch 09/CDP_Full_Corporate_Scoring_Methodology_2025_-_Forests.pdf,batch_file_exact,counted_in_v1.3
DOC-013,Batch 09,INVESTMENTS_FOR_IMPACT_AND_RESILIENCE_Landscape_Guide_2025_compressed-1.pdf,INVESTMENTS: A Coffee Industry Guidebook on Landscape and Jurisdictional Initiaves,2025.0,Conservation International,ORG-007,PDF,https://www.conservation.org/,Conservation International. (2025). INVESTMENTS: A Coffee Industry Guidebook on Landscape and Jurisdictional Initiaves. https://www.conservation.org/,extracted,52.0,128509,/mnt/data/_corpus_extracted/Batch 08/INVESTMENTS_FOR_IMPACT_AND_RESILIENCE_Landscape_Guide_2025_compressed-1.pdf,multi_filename_first_fallback,counted_in_v1.3
DOC-014,Batch 09,CGF-FPC-Soy-DCF-Methodology-v0.pdf,CGF FPC Soy DCF Methodology v0,,Consumer Goods Forum (CGF),ORG-008,PDF,https://www.theconsumergoodsforum.com/wp-content/uploads/2023/02/CGF-FPC-Soy-DCF-Methodology-v0.pdf,Consumer Goods Forum. (n.d.). CGF FPC Soy DCF Methodology v0. https://www.theconsumergoodsforum.com/wp-content/uploads/2023/02/CGF-FPC-Soy-DCF-Methodology-v0.pdf,extracted,27.0,32714,/mnt/data/_corpus_extracted/Batch 09/CGF-FPC-Soy-DCF-Methodology-v0.pdf,batch_file_exact,counted_in_v1.3
DOC-015,Batch 09,CGF-FPC-Soy-Roadmap-Guidance.pdf,CGF FPC Soy Roadmap Guidance,,Consumer Goods Forum (CGF),ORG-008,PDF,https://www.theconsumergoodsforum.com/wp-content/uploads/2023/02/CGF-FPC-Soy-Roadmap-Guidance.pdf,Consumer Goods Forum. (n.d.). CGF FPC Soy Roadmap Guidance. https://www.theconsumergoodsforum.com/wp-content/uploads/2023/02/CGF-FPC-Soy-Roadmap-Guidance.pdf,extracted,80.0,124183,/mnt/data/_corpus_extracted/Batch 09/CGF-FPC-Soy-Roadmap-Guidance.pdf,batch_file_exact,counted_in_v1.3
DOC-016,Batch 09,CGF-Forest-Positive-Beef-Roadmap-Guidance-V1.2.pdf,CGF Forest Positive Beef Roadmap Guidance V1.2,,Consumer Goods Forum (CGF),ORG-008,PDF,https://www.theconsumergoodsforum.com/wp-content/uploads/2024/04/CGF-Forest-Positive-Beef-Roadmap-Guidance-V1.2.pdf,Consumer Goods Forum. (n.d.). CGF Forest Positive Beef Roadmap Guidance V1.2. https://www.theconsumergoodsforum.com/wp-content/uploads/2024/04/CGF-Forest-Positive-Beef-Roadmap-Guidance-V1.2.pdf,extracted,66.0,98308,/mnt/data/_corpus_extracted/Batch 09/CGF-Forest-Positive-Beef-Roadmap-Guidance-V1.2.pdf,batch_file_exact,counted_in_v1.3
DOC-017,Batch 09,giz2024-en-AgriChains-Brazil.pdf,Project AgriChains Brazil: Sustainable Soy Supply Chain,2024.0,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH,ORG-010,PDF,https://www.giz.de/de/downloads/giz2024-en-AgriChains-Brazil.pdf,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH. (2024). Project AgriChains Brazil: Sustainable Soy Supply Chain. https://www.giz.de/de/downloads/giz2024-en-AgriChains-Brazil.pdf,extracted,2.0,7649,/mnt/data/_corpus_extracted/Batch 09/giz2024-en-AgriChains-Brazil.pdf,batch_file_exact,counted_in_v1.3
DOC-018,Batch 09,ILM_Practical_Guide_DEC22.pdf,ILM Practical Guide DEC22,2022.0,EcoAgriculture Partners,ORG-012,PDF,https://landscapes.global/wp-content/uploads/2022/12/ILM_Practical_Guide_DEC22.pdf,EcoAgriculture Partners. (2022). ILM Practical Guide DEC22. https://landscapes.global/wp-content/uploads/2022/12/ILM_Practical_Guide_DEC22.pdf,extracted,35.0,65206,/mnt/data/_corpus_extracted/Batch 04/ILM_Practical_Guide_DEC22.pdf,multi_filename_first_fallback,counted_in_v1.3
DOC-019,Batch 09,Econometrica Review-of-Deforestation-Risk-Maps-1.pdf,Econometrica Review of Deforestation Risk Maps 1,,Econometrica,ORG-013,PDF,https://www.econometricainc.com/,Econometrica. (n.d.). Econometrica Review of Deforestation Risk Maps 1. https://www.econometricainc.com/,extracted,13.0,28377,/mnt/data/_corpus_extracted/Batch 09/Econometrica Review-of-Deforestation-Risk-Maps-1.pdf,batch_file_exact,counted_in_v1.3
DOC-020,Batch 07,211224_herewegrow_enveritas_deforestation_white-paper_web.pdf,211224 herewegrow enveritas deforestation white paper web,,Enveritas,ORG-014,PDF,https://www.enveritas.org/,Enveritas. (n.d.). 211224 herewegrow enveritas deforestation white paper web. https://www.enveritas.org/,extracted,45.0,49657,/mnt/data/_corpus_extracted/Batch 07/211224_herewegrow_enveritas_deforestation_white-paper_web.pdf,batch_file_exact,counted_in_v1.3
DOC-021,Batch 09,Palm-sector-supply-chain-guidance.pdf,Sector supply-chain guidance – palm,,European Bank for Reconstruction and Development (EBRD),ORG-015,PDF,https://www.ebrd.com/content/dam/ebrd_dxp/assets/pdfs/financial-institution/sustainable-finance/environmental-and-social-risk-management/issues/Palm-sector-supply-chain-guidance.pdf,European Bank for Reconstruction and Development. (n.d.). Sector supply-chain guidance – palm. https://www.ebrd.com/content/dam/ebrd_dxp/assets/pdfs/financial-institution/sustainable-finance/environmental-and-social-risk-management/issues/Palm-sector-supply-chain-guidance.pdf,extracted,9.0,35140,/mnt/data/_corpus_extracted/Batch 09/Palm-sector-supply-chain-guidance.pdf,batch_file_exact,counted_in_v1.3
DOC-022,Batch 08,EU_Regulation_on_Deforestation-Free_Products-_Operational_.pdf,Regulation on deforestation-free products,2025.0,European Commission,ORG-016,PDF,https://environment.ec.europa.eu/topics/forests/deforestation/regulation-deforestation-free-products_en,European Commission. (2025). Regulation on deforestation-free products. https://environment.ec.europa.eu/topics/forests/deforestation/regulation-deforestation-free-products_en,extracted,18.0,68308,/mnt/data/_corpus_extracted/Batch 08/EU_Regulation_on_Deforestation-Free_Products-_Operational_.pdf,batch_file_exact,counted_in_v1.3
DOC-023,Batch 07,C_2025_2485_F1_ANNEX_EN_V3_P1_4056628.pdf,GUIDANCE  DOCUMENT 1 FOR REGULATION ( 2023/1115 ON DEFORESTATION FREE PRODUCTS,2023.0,European Commission,ORG-016,PDF,https://green-forum.ec.europa.eu/nature-and-biodiversity/deforestation-regulation-implementation_en,European Commission. (2023). GUIDANCE  DOCUMENT 1 FOR REGULATION ( 2023/1115 ON DEFORESTATION FREE PRODUCTS. https://green-forum.ec.europa.eu/nature-and-biodiversity/deforestation-regulation-implementation_en,extracted,45.0,146204,/mnt/data/_corpus_extracted/Batch 09/C_2025_2485_F1_ANNEX_EN_V3_P1_4056628.pdf,multi_filename_first_fallback,counted_in_v1.3
DOC-024,Batch 08,EUDR preparedness check CIV_EN.pdf,Cocoa Insight,,European Forest Institute (EFI),ORG-017,PDF,https://efi.int/,European Forest Institute. (n.d.). Cocoa Insight. https://efi.int/,extracted,15.0,34766,/mnt/data/_corpus_extracted/Batch 09/EUDR preparedness check CIV_EN.pdf,multi_filename_first_fallback,counted_in_v1.3
DOC-025,Batch 09,CELEX_32023R1115_EN_TXT.pdf,CELEX 32023R1115 EN TXT,2023.0,European Parlaiment and Council,ORG-018,PDF,https://eur-lex.europa.eu/eli/reg/2023/1115/oj,European Parliament and Council. (2023). CELEX 32023R1115 EN TXT. https://eur-lex.europa.eu/eli/reg/2023/1115/oj,extracted,42.0,177201,/mnt/data/_corpus_extracted/Batch 09/CELEX_32023R1115_EN_TXT.pdf,batch_file_exact,counted_in_v1.3
DOC-026,Batch 05,Farmforce - The 2026 Traceability Barometer.pdf,Farmforce The 2026 Traceability Barometer,2026.0,Farmforce,ORG-019,PDF,https://farmforce.com/,Farmforce. (2026). Farmforce The 2026 Traceability Barometer. https://farmforce.com/,extracted,24.0,23,/mnt/data/_corpus_extracted/Batch 05/Farmforce - The 2026 Traceability Barometer.pdf,batch_file_exact,counted_in_v1.3
DOC-027,Batch 09,DIASCA_Forest_Monitoring_Guidance1.pdf,DIASCA Forest Monitoring Guidance,,Forest Data Partnership,ORG-020,PDF,https://www.nachhaltige-agrarlieferketten.org/fileadmin/INA/diasca/DIASCA_Forest_Monitoring_Guidance1.pdf,Forest Data Partnership. (n.d.). DIASCA Forest Monitoring Guidance. https://www.nachhaltige-agrarlieferketten.org/fileadmin/INA/diasca/DIASCA_Forest_Monitoring_Guidance1.pdf,extracted,44.0,79797,/mnt/data/_corpus_extracted/Batch 09/DIASCA_Forest_Monitoring_Guidance1.pdf,batch_file_exact,counted_in_v1.3
DOC-028,Batch 09,RegModule_ExplanatoryMaterials.pdf,FSC Regulatory Module,,Forest Stewardship Council (FSC),ORG-021,PDF,https://static1.squarespace.com/static/65a5120f06652261eec4b6a4/t/66a9085c18ce6421fb8df54e/1722353757645/RegModule_ExplanatoryMaterials.pdf,Forest Stewardship Council. (n.d.). FSC Regulatory Module. https://static1.squarespace.com/static/65a5120f06652261eec4b6a4/t/66a9085c18ce6421fb8df54e/1722353757645/RegModule_ExplanatoryMaterials.pdf,extracted,17.0,36148,/mnt/data/_corpus_extracted/Batch 09/RegModule_ExplanatoryMaterials.pdf,batch_file_exact,counted_in_v1.3
DOC-029,Batch 09,01092021_FSC-STD-40-004_V3-1_EN_FINAL.pdf,01092021 FSC STD 40 004 V3 1 EN FINAL,2021.0,Forest Stewardship Council (FSC),ORG-021,PDF,https://open.fsc.org/handle/resource/302,Forest Stewardship Council. (2021). 01092021 FSC STD 40 004 V3 1 EN FINAL. https://open.fsc.org/handle/resource/302,extracted,52.0,128044,/mnt/data/_corpus_extracted/Batch 09/01092021_FSC-STD-40-004_V3-1_EN_FINAL.pdf,batch_file_exact,counted_in_v1.3
DOC-030,Batch 09,2024_Forest_500_FI_Assessment_Methodology.pdf,Assessment methodology,2024.0,Global Canopy,ORG-022,PDF,https://forest500.org/publications/assessment-methodology-2024/,Global Canopy. (2024). Assessment methodology. https://forest500.org/publications/assessment-methodology-2024/,extracted,53.0,82128,/mnt/data/_corpus_extracted/Batch 09/2024_Forest_500_FI_Assessment_Methodology.pdf,batch_file_exact,counted_in_v1.3
DOC-031,Batch 06,Forest500_Report_2025.pdf,Forest 500 Report,2025.0,Global Canopy,ORG-022,PDF,https://forest500.org/wp-content/uploads/2025/04/Forest500_Report_2025.pdf,Global Canopy. (2025). Forest 500 Report. https://forest500.org/wp-content/uploads/2025/04/Forest500_Report_2025.pdf,extracted,31.0,95280,/mnt/data/_corpus_extracted/Batch 06/Forest500_Report_2025.pdf,batch_file_exact,counted_in_v1.3
DOC-032,,,EUDR Guidance and Recommendations,2024.0,Global Coffee Platform (GCP),ORG-023,PDF,https://www.globalcoffeeplatform.org/eudr-guidance-and-recommendations/,Global Coffee Platform. (2024). EUDR Guidance and Recommendations. https://www.globalcoffeeplatform.org/eudr-guidance-and-recommendations/,not_extracted,,0,,pdftotext_remaining,not_counted_no_extracted_text_or_no_file
DOC-033,Batch 08,EM_2.0_EN-1.pdf,"EQUIVALENCE  MECHANISM, Ensuring schemes meet the Coffee Sustainability Reference Code",,Global Coffee Platform (GCP),ORG-023,PDF,https://www.globalcoffeeplatform.org/,"Global Coffee Platform. (n.d.). EQUIVALENCE  MECHANISM, Ensuring schemes meet the Coffee Sustainability Reference Code. https://www.globalcoffeeplatform.org/",extracted,32.0,65047,/mnt/data/_corpus_extracted/Batch 09/EM_2.0_EN-1.pdf,multi_filename_first_fallback,counted_in_v1.3
DOC-034,Converted Sources,DOC-029_GPSNR_Reporting_Requirements_2024.pdf,GPSNR Reporting Requirements (converted from Excel),2024.0,Global Platform for Sustainable Natural Rubber (GPSNR),ORG-024,PDF - converted source,https://sustainablenaturalrubber.org/gpsnr-reporting-requirements/,Global Platform for Sustainable Natural Rubber. (2024). GPSNR Reporting Requirements (converted from Excel). https://sustainablenaturalrubber.org/gpsnr-reporting-requirements/,extracted,181.0,112387,/mnt/data/DOC-029_GPSNR_Reporting_Requirements_2024.pdf,root_file,counted_in_v1.3
DOC-035,Batch 09,Google Cloud NGIS Tracemark 2023.pdf,TraceMark sustainable sourcing monitoring runs on Google Cloud,2023.0,Google and NGIS,ORG-025,PDF,https://cloud.google.com/blog/products/data-analytics/sustainable-supply-chains-start-with-a-data-sharing-ecosystem,Google and NGIS. (2023). TraceMark sustainable sourcing monitoring runs on Google Cloud. https://cloud.google.com/blog/products/data-analytics/sustainable-supply-chains-start-with-a-data-sharing-ecosystem,extracted,5.0,9746,/mnt/data/_corpus_extracted/Batch 09/Google Cloud NGIS Tracemark 2023.pdf,batch_file_exact,counted_in_v1.3
DOC-036,Batch 09,Guia-Cumprimento-Protocolo-de-Monitoramento.pdf,PROTOCOLO DE MONITORAMENTO DE FORNECEDORES DE GADO DA AMAZÔNIA,,Government of Brazil,ORG-026,PDF,https://www.gov.br/,Government of Brazil. (n.d.). PROTOCOLO DE MONITORAMENTO DE FORNECEDORES DE GADO DA AMAZÔNIA. https://www.gov.br/,extracted,13.0,26541,/mnt/data/_corpus_extracted/Batch 09/Guia-Cumprimento-Protocolo-de-Monitoramento.pdf,batch_file_exact,counted_in_v1.3
DOC-037,Batch 07,HCSA-Toolkit-v2.0-Module-4-Forest-and-vegetation-stratification-1.pdf,"Law No. 12,651 (Forest Code / Native Vegetation Protection Law)",2012.0,Government of Brazil,ORG-026,PDF,https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2012/lei/l12651.htm,"Government of Brazil. (2012). Law No. 12,651 (Forest Code / Native Vegetation Protection Law). https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2012/lei/l12651.htm",extracted,44.0,94168,/mnt/data/_corpus_extracted/Batch 07/HCSA-Toolkit-v2.0-Module-4-Forest-and-vegetation-stratification-1.pdf,batch_file_exact,counted_in_v1.3
DOC-038,Batch 07,Corporate-Value-Chain-Accounting-Reporing-Standard_041613_2.pdf,Corporate Value Chain (Scope 3) Standard,2011.0,Greenhouse Gas Protocol (GHG-P),ORG-027,PDF,https://ghgprotocol.org/corporate-value-chain-scope-3-standard,Greenhouse Gas Protocol. (2011). Corporate Value Chain (Scope 3) Standard. https://ghgprotocol.org/corporate-value-chain-scope-3-standard,extracted,152.0,368927,/mnt/data/_corpus_extracted/Batch 07/Corporate-Value-Chain-Accounting-Reporing-Standard_041613_2.pdf,batch_file_exact,counted_in_v1.3
DOC-039,Batch 06,Land-Sector-and-Removals-Standard.pdf,Land Sector and Removals Guidance,2026.0,Greenhouse Gas Protocol (GHG-P),ORG-027,PDF,https://ghgprotocol.org/land-sector-and-removals-guidance,Greenhouse Gas Protocol. (2026). Land Sector and Removals Guidance. https://ghgprotocol.org/land-sector-and-removals-guidance,extracted,133.0,309662,/mnt/data/_corpus_extracted/Batch 06/Land-Sector-and-Removals-Standard.pdf,batch_file_exact,counted_in_v1.3
DOC-040,Batch 07,HCSA-Toolkit-v2.0-Module-6-Issues-under-development-1.pdf,Scope 3 Standard Development Plan,2024.0,Greenhouse Gas Protocol (GHG-P),ORG-027,PDF,https://ghgprotocol.org/sites/default/files/2025-01/S3-SDP-20241220.pdf,Greenhouse Gas Protocol. (2024). Scope 3 Standard Development Plan. https://ghgprotocol.org/sites/default/files/2025-01/S3-SDP-20241220.pdf,extracted,24.0,52036,/mnt/data/_corpus_extracted/Batch 07/HCSA-Toolkit-v2.0-Module-6-Issues-under-development-1.pdf,batch_file_exact,counted_in_v1.3
DOC-041,Batch 09,Land-Sector-and-Removals-Standard-Executive-Summary.pdf,Land Sector and Removals Standard Executive Summary,,Greenhouse Gas Protocol (GHG-P),ORG-027,PDF,High Carbon Value (HCV) Network,Greenhouse Gas Protocol. (n.d.). Land Sector and Removals Standard Executive Summary. High Carbon Value (HCV) Network,extracted,17.0,40419,/mnt/data/_corpus_extracted/Batch 09/Land-Sector-and-Removals-Standard-Executive-Summary.pdf,batch_file_exact,counted_in_v1.3
DOC-042,Batch 09,Project Overview_25 July 2024.pdf,"Greenhouse Gas Protocol - Land Sector and Removals Initiative, Project Overview",2024.0,Greenhouse Gas Protocol (GHG-P),ORG-027,PDF,IDH – The Sustainable Trade Initiative,"Greenhouse Gas Protocol. (2024). Greenhouse Gas Protocol - Land Sector and Removals Initiative, Project Overview. IDH – The Sustainable Trade Initiative",extracted,16.0,35654,/mnt/data/_corpus_extracted/Batch 09/Project Overview_25 July 2024.pdf,batch_file_exact,counted_in_v1.3
DOC-043,Converted Sources,DOC-030_GTFI_Boas_Praticas_Fornecedores_Indiretos_2019.pdf,Boas Práticas para monitoramento de fornecedores indiretos (converted to PDF from Website),2019.0,Grupo de Trabalho de Fornecedores Indiretos (GTFI),ORG-028,PDF - converted source,https://gtfi.org.br/boas-praticas/,Grupo de Trabalho de Fornecedores Indiretos. (2019). Boas Práticas para monitoramento de fornecedores indiretos (converted to PDF from Website). https://gtfi.org.br/boas-praticas/,extracted,8.0,6138,/mnt/data/DOC-030_GTFI_Boas_Praticas_Fornecedores_Indiretos_2019.pdf,root_file,counted_in_v1.3
DOC-044,Batch 08,AFi Operational Guidance - Monitoring & Verification (2020-05).pdf,Common Guidance for the Identification of HCV,2013.0,High Carbon Value (HCV) Network,ORG-029,PDF,https://www.hcvnetwork.org/library/common-guidance-for-the-identification-of-hcv-english-indonesian-french-portuguese,High Conservation Value Network. (2013). Common Guidance for the Identification of HCV. https://www.hcvnetwork.org/library/common-guidance-for-the-identification-of-hcv-english-indonesian-french-portuguese,extracted,56.0,112139,/mnt/data/_corpus_extracted/Batch 08/AFi Operational Guidance - Monitoring & Verification (2020-05).pdf,batch_file_exact,counted_in_v1.3
DOC-045,Batch 08,AFi Operational Guidance - Supply Chain Management (2020-05).pdf,Common Guidance for the Management & Monitoring of HCV,2022.0,High Carbon Value (HCV) Network,ORG-029,PDF,https://global-uploads.webflow.com/624493bb51507d22cf218d50/6286866d8bbf4719b4e1d5af_HCV_Mgmt_Monitoring_final_english.pdf,High Conservation Value Network. (2022). Common Guidance for the Management & Monitoring of HCV. https://global-uploads.webflow.com/624493bb51507d22cf218d50/6286866d8bbf4719b4e1d5af_HCV_Mgmt_Monitoring_final_english.pdf,extracted,35.0,65429,/mnt/data/_corpus_extracted/Batch 08/AFi Operational Guidance - Supply Chain Management (2020-05).pdf,batch_file_exact,counted_in_v1.3
DOC-046,Batch 05,HCSA-Toolkit-v2.0-Module-5-HCS-Forest-Patch-Analysis-Protection-1.pdf,HCSA Toolkit v2.0 Module 5 HCS Forest Patch Analysis Protection 1,,High Carbon Value (HCV) Network,ORG-029,PDF,https://www.hcvnetwork.org/library,High Conservation Value Network. (n.d.). HCSA Toolkit v2.0 Module 5 HCS Forest Patch Analysis Protection 1. https://www.hcvnetwork.org/library,extracted,48.0,117773,/mnt/data/_corpus_extracted/Batch 05/HCSA-Toolkit-v2.0-Module-5-HCS-Forest-Patch-Analysis-Protection-1.pdf,batch_file_exact,counted_in_v1.3
DOC-047,Batch 07,HCSA-Toolkit-v2.0-Module-7-Assuring-quality-of-HCS-assessments-1.pdf,HCSA Toolkit v2.0 Module 7 Assuring quality of HCS assessments 1,,High Carbon Value (HCV) Network,ORG-029,PDF,https://www.hcvnetwork.org/library,High Conservation Value Network. (n.d.). HCSA Toolkit v2.0 Module 7 Assuring quality of HCS assessments 1. https://www.hcvnetwork.org/library,extracted,12.0,18185,/mnt/data/_corpus_extracted/Batch 07/HCSA-Toolkit-v2.0-Module-7-Assuring-quality-of-HCS-assessments-1.pdf,batch_file_exact,counted_in_v1.3
DOC-048,Batch 08,6286878c1de2255dee34ecfc_HCVCommonGuide_English-07-17-web.pdf,HCVCommonGuide English 07 17 web,,High Carbon Value (HCV) Network,ORG-029,PDF,https://global-uploads.webflow.com/624493bb51507d22cf218d50/6286878c1de2255dee34ecfc_HCVCommonGuide_English-07-17-web.pdf,High Conservation Value Network. (n.d.). HCVCommonGuide English 07 17 web. https://global-uploads.webflow.com/624493bb51507d22cf218d50/6286878c1de2255dee34ecfc_HCVCommonGuide_English-07-17-web.pdf,extracted,74.0,174384,/mnt/data/_corpus_extracted/Batch 08/6286878c1de2255dee34ecfc_HCVCommonGuide_English-07-17-web.pdf,batch_file_exact,counted_in_v1.3
