dataset_id,preferred_dataset_name,dataset_provider,dataset_type,geography,preferred_access_url,canonical_apa_reference,web_verification_status,source_basis,documents_referencing_stageA_mapped,raw_mention_rows_mapped,page_occurrences_mapped,original_names_observed,stageB_registry_status
DS-012,Copernicus Global Land Cover / Global Dynamic Land Cover,Copernicus Land Monitoring Service,global land-cover dataset,Global,https://land.copernicus.eu/en/products/global-dynamic-land-cover,Copernicus Land Monitoring Service. (n.d.). Global Dynamic Land Cover. https://land.copernicus.eu/en/products/global-dynamic-land-cover,web verified - Copernicus Land Monitoring Service,CLMS product page describes annual global land cover maps and cover-fraction layers.,10,14,17,Copernicus; copernicus,observed_in_corpus
DS-023,INCRA/SIGEF/SNCI rural land tenure geospatial systems,Instituto Nacional de Colonização e Reforma Agrária (INCRA),land tenure / property geospatial registry,Brazil,https://sigef.incra.gov.br/,Instituto Nacional de Colonização e Reforma Agrária. (n.d.). Sistema de Gestão Fundiária — SIGEF. https://sigef.incra.gov.br/,web seeded - official system URL recommended,"Grouped for INCRA, SIGEF, and SNCI references; exact system should be separated in later manual review where context requires.",9,20,29,INCRA; SIGEF; SNCI,observed_in_corpus
DS-013,ESA WorldCover,European Space Agency,global land-cover dataset,Global,https://esa-worldcover.org/en,European Space Agency. (n.d.). ESA WorldCover. https://esa-worldcover.org/en,web verified - ESA WorldCover,WorldCover site describes global land cover products at 10 m resolution based on Sentinel-1 and Sentinel-2.,8,23,26,ESA,observed_in_corpus
DS-016,MODIS satellite data,NASA,remote sensing imagery/source,Global,https://modis.gsfc.nasa.gov/data/,National Aeronautics and Space Administration. (n.d.). MODIS data. https://modis.gsfc.nasa.gov/data/,web seeded - official provider page recommended,Grouped for generic MODIS mentions; exact product not always stated in corpus.,8,19,30,MODIS,observed_in_corpus
DS-022,WDPA — World Database on Protected Areas,UNEP-WCMC & IUCN,protected areas database,Global,https://www.protectedplanet.net/,UNEP-WCMC & IUCN. (2026). Protected Planet: The World Database on Protected Areas. https://www.protectedplanet.net/,web verified - UNEP-WCMC/IUCN/Protected Planet,WDPA is a global protected-area database updated monthly and managed through Protected Planet.,8,17,28,WDPA; World Database on Protected Areas,observed_in_corpus
DS-030,Whisp — convergence-of-evidence forest-data solution,Forest Data Partnership / AIM4Forests,convergence-of-evidence forest data solution,Global / EUDR-relevant plots,https://www.forestdatapartnership.org/news-events/supporting-eudr-compliance-with-whisp,Forest Data Partnership. (n.d.). Supporting EUDR compliance with Whisp. https://www.forestdatapartnership.org/news-events/supporting-eudr-compliance-with-whisp,web verified - Forest Data Partnership,FDaP describes Whisp as a convergence-of-evidence approach/tool using multiple datasets for EUDR compliance.,7,28,62,WHISP; whisp; Whisp,observed_in_corpus
DS-010,RADD Forest Disturbance Alerts,"Wageningen University, Satelligence & World Resources Institute",radar-based deforestation alert dataset,Tropical forests; initially palm-risk geographies,https://satelligence.com/radd/,Satelligence. (n.d.). RADD: Public radar-based deforestation monitoring. https://satelligence.com/radd/,web verified - public RADD/Satelligence source,"RADD page describes public radar-based deforestation monitoring using Sentinel-1, available through GEE and GFW.",7,12,16,RADD; RADD alerts,observed_in_corpus
DS-027,Universal Mill List,Rainforest Alliance / World Resources Institute / Proforest / Daemeter,palm oil mill-location database,Global palm oil supply chains,https://knowledge.rainforest-alliance.org/docs/the-universal-mill-list,Rainforest Alliance. (2026). The Universal Mill List. https://knowledge.rainforest-alliance.org/docs/the-universal-mill-list,web verified - Rainforest Alliance/WRI sources,Rainforest Alliance page describes UML as a palm-oil mill-location dataset; WRI provides the standardized methodology technical note.,6,34,124,UML; Universal Mill List; UNIVERSAL MILL LIST,observed_in_corpus
DS-037,Google Earth Engine,Google,geospatial analysis platform,Global,https://earthengine.google.com/,Google. (n.d.). Google Earth Engine. https://earthengine.google.com/,"web seeded - platform, not source dataset","Retained as platform/tool reference, not a dataset. Do not treat as geospatial dataset unless document context makes platform use analytically relevant.",6,21,25,Earth Engine; Google Earth Engine,observed_in_corpus
DS-006,MapBiomas Alerta,Projeto MapBiomas,deforestation alert validation platform/dataset,Brazil,https://alerta.mapbiomas.org/,Projeto MapBiomas. (n.d.). MapBiomas Alerta. https://alerta.mapbiomas.org/,web verified - public MapBiomas source,Public MapBiomas Alerta platform; used as an alert/reporting source in Brazilian deforestation monitoring contexts.,6,6,6,MapBiomas Alerta; MAPBIOMAS Alerta,observed_in_corpus
DS-029,Forest 500 datasets,Global Canopy,company/financial institution assessment dataset,Global forest-risk commodity supply chains,https://forest500.org/forest-500-data-methods/,Global Canopy. (n.d.). Forest 500 data and methods. https://forest500.org/forest-500-data-methods/,web verified - official Forest 500,Forest 500 data and methods page describes assessment methodologies and downloadable datasets.,5,32,101,Forest 500; FOREST 500,observed_in_corpus
DS-039,Open Foris Collect Earth,Food and Agriculture Organization of the United Nations,land monitoring tool/platform,Global,https://openforis.org/tools/collect-earth/,Food and Agriculture Organization of the United Nations. (n.d.). Open Foris Collect Earth. https://openforis.org/tools/collect-earth/,"web seeded - platform, not source dataset",Retained as tool/platform reference.,5,11,14,Collect Earth; Open Foris,observed_in_corpus
DS-002,PRODES Cerrado — Monitoramento Anual da Supressão da Vegetação Nativa no Cerrado,Instituto Nacional de Pesquisas Espaciais (INPE),forest/native vegetation suppression monitoring dataset,"Cerrado, Brazil",https://terrabrasilis.dpi.inpe.br/,Instituto Nacional de Pesquisas Espaciais. (n.d.). PRODES Cerrado: Monitoramento anual da supressão da vegetação nativa. TerraBrasilis. https://terrabrasilis.dpi.inpe.br/,web verified - official INPE/TerraBrasilis,Official TerraBrasilis/INPE source; PRODES data for Brazilian biomes are disseminated through TerraBrasilis.,5,6,11,PRODES Cerrado,observed_in_corpus
DS-028,GeoRSPO,Roundtable on Sustainable Palm Oil (RSPO) / World Resources Institute,palm concession/mill geospatial platform,"RSPO member concessions globally, with restrictions in Indonesia",https://rspo.org/as-an-organisation/tools/georspo/,Roundtable on Sustainable Palm Oil. (n.d.). GeoRSPO. https://rspo.org/as-an-organisation/tools/georspo/,web verified - official RSPO page and user-supplied PDF conversion,GeoRSPO is an interactive mapping platform with RSPO member concession boundaries and related layers.,4,10,23,GeoRSPO,observed_in_corpus
DS-024,Cadastro de Empregadores — trabalho análogo à escravidão (“Lista Suja”),Ministério do Trabalho e Emprego (Brazil),labor compliance registry/list,Brazil,https://www.gov.br/trabalho-e-emprego/,Ministério do Trabalho e Emprego. (n.d.). Cadastro de Empregadores que submeteram trabalhadores a condições análogas à escravidão. https://www.gov.br/trabalho-e-emprego/,web verified - official MTE news/source pages,Corpus references to Lista Suja/slave labor list are mapped to the official MTE employer registry.,4,4,7,Lista Suja; lista suja,observed_in_corpus
DS-036,Terra-i,Alliance of Bioversity International and CIAT / partners,land-cover change / deforestation monitoring system,Latin America / tropics,https://www.terra-i.org/,Terra-i. (n.d.). Terra-i. https://www.terra-i.org/,web seeded - official project URL recommended,Mapped where Terra-i is directly mentioned.,4,4,4,Terra-i; Terra-I,observed_in_corpus
DS-031,Preferred by Nature Sourcing Hub risk data,Preferred by Nature,country/commodity risk assessment data,Global / country risk profiles,https://sourcinghub.preferredbynature.org/,Preferred by Nature. (n.d.). Sourcing Hub. https://sourcinghub.preferredbynature.org/,web verified - user-supplied converted PDF and public site,Sourcing Hub risk assessment methodology describes risk data and country risk assessments.,3,12,23,Preferred by Nature Sourcing Hub; Sourcing Hub,observed_in_corpus
DS-033,FAOSTAT,Food and Agriculture Organization of the United Nations,statistical database,Global,https://www.fao.org/faostat/,Food and Agriculture Organization of the United Nations. (n.d.). FAOSTAT. https://www.fao.org/faostat/,web seeded - official FAO URL recommended,FAOSTAT references are harmonized to FAO statistical database.,3,9,13,FAOSTAT,observed_in_corpus
DS-032,Agroideal,Agroideal,territorial intelligence / commodity expansion platform,South America / commodity-specific,https://agroideal.org/,Agroideal. (n.d.). Agroideal. https://agroideal.org/,web seeded - official platform URL recommended,Mapped where Agroideal is directly mentioned; verify exact dataset or tool role in Stage C/D.,2,6,11,Agroideal,observed_in_corpus
DS-034,OpenStreetMap,OpenStreetMap contributors / OpenStreetMap Foundation,open geographic database,Global,https://www.openstreetmap.org/,OpenStreetMap contributors. (n.d.). OpenStreetMap. https://www.openstreetmap.org/,web verified - official OSM pages,"OpenStreetMap official pages describe OSM as open geographic data about roads, land use, and other features.",2,3,3,OpenStreetMap; OSM,observed_in_corpus
DS-038,SEPAL,Food and Agriculture Organization of the United Nations,cloud geospatial processing platform,Global,https://sepal.io/,Food and Agriculture Organization of the United Nations. (n.d.). SEPAL. https://sepal.io/,"web seeded - platform, not source dataset",Retained as tool/platform reference.,2,3,3,SEPAL,observed_in_corpus
DS-035,Imazon SAD — Sistema de Alerta de Desmatamento,Imazon,deforestation alert dataset,Brazilian Amazon,https://imazon.org.br/,Imazon. (n.d.). Sistema de Alerta de Desmatamento (SAD). https://imazon.org.br/,web seeded - official organization URL recommended,Mapped where SAD/Imazon is directly mentioned; source URL should be refined to exact SAD page if needed.,1,4,4,Imazon; SAD,observed_in_corpus
DS-004,TerraClass — Land Use and Land Cover in Deforested Areas of the Amazon and Cerrado,INPE & Embrapa,land use / land cover classification dataset,"Amazon and Cerrado, Brazil",https://www.terraclass.gov.br/,Instituto Nacional de Pesquisas Espaciais & Empresa Brasileira de Pesquisa Agropecuária. (n.d.). TerraClass. https://www.terraclass.gov.br/,web verified - official TerraClass/INPE,Official TerraClass site and INPE pages describe TerraClass as mapping/qualifying land use and land cover in areas with native vegetation removal.,0,0,0,,seeded_not_observed_after_mapping
