dataset_id,preferred_dataset_name,source_url,source_basis,web_verification_status
DS-015,Copernicus Sentinel satellite imagery,https://dataspace.copernicus.eu/explore-data/data-collections/sentinel-data,Grouped for generic Sentinel mentions; Sentinel-1 and Sentinel-2 are kept as observed variants.,web seeded - official provider page recommended
DS-009,GLAD Deforestation Alerts,https://www.globalforestwatch.org/blog/data-and-tools/glad-deforestation-alerts/,GFW explains GLAD alerts as UMD GLAD Landsat-based weekly tropical forest disturbance alerts.,web verified - GFW explanation and UMD GLAD source
DS-019,IBAMA environmental embargo registry,https://dadosabertos.ibama.gov.br/,IBAMA mentions often refer to embargo lists or environmental infraction/compliance data; exact dataset should be confirmed by document context.,web seeded - official data portal recommended
DS-003,DETER — Detecção do Desmatamento em Tempo Real,https://terrabrasilis.dpi.inpe.br/,TerraBrasilis provides access to PRODES and DETER geographic data generated by INPE.,web verified - official INPE/TerraBrasilis
DS-011,JRC Tropical Moist Forest maps,https://forobs.jrc.ec.europa.eu/TMF,JRC Forest Observations describes long-term tracking of deforestation and degradation in tropical moist forests.,web verified - official JRC Forest Observations
DS-040,Agrosatélite mapping products,https://www.agrosatelite.com.br/,Mapped where Agrosatélite is mentioned as a source or survey. Exact dataset/product often unclear and should be refined in Stage B manual review.,web seeded - provider-level source; exact product unresolved
DS-021,CNUC — Cadastro Nacional de Unidades de Conservação,https://www.gov.br/mma/pt-br/assuntos/biodiversidade-e-biomas/areas-protegidas/plataforma-cnuc-1,CNUC page describes official database and georeferenced data for Brazilian conservation units.,web verified - official MMA
DS-012,Copernicus Global Land Cover / Global Dynamic Land Cover,https://land.copernicus.eu/en/products/global-dynamic-land-cover,CLMS product page describes annual global land cover maps and cover-fraction layers.,web verified - Copernicus Land Monitoring Service
DS-023,INCRA/SIGEF/SNCI rural land tenure geospatial systems,https://sigef.incra.gov.br/,"Grouped for INCRA, SIGEF, and SNCI references; exact system should be separated in later manual review where context requires.",web seeded - official system URL recommended
DS-013,ESA WorldCover,https://esa-worldcover.org/en,WorldCover site describes global land cover products at 10 m resolution based on Sentinel-1 and Sentinel-2.,web verified - ESA WorldCover
DS-016,MODIS satellite data,https://modis.gsfc.nasa.gov/data/,Grouped for generic MODIS mentions; exact product not always stated in corpus.,web seeded - official provider page recommended
DS-022,WDPA — World Database on Protected Areas,https://www.protectedplanet.net/,WDPA is a global protected-area database updated monthly and managed through Protected Planet.,web verified - UNEP-WCMC/IUCN/Protected Planet
DS-030,Whisp — convergence-of-evidence forest-data solution,https://www.forestdatapartnership.org/news-events/supporting-eudr-compliance-with-whisp,FDaP describes Whisp as a convergence-of-evidence approach/tool using multiple datasets for EUDR compliance.,web verified - Forest Data Partnership
DS-010,RADD Forest Disturbance Alerts,https://satelligence.com/radd/,"RADD page describes public radar-based deforestation monitoring using Sentinel-1, available through GEE and GFW.",web verified - public RADD/Satelligence source
DS-027,Universal Mill List,https://knowledge.rainforest-alliance.org/docs/the-universal-mill-list,Rainforest Alliance page describes UML as a palm-oil mill-location dataset; WRI provides the standardized methodology technical note.,web verified - Rainforest Alliance/WRI sources
DS-037,Google Earth Engine,https://earthengine.google.com/,"Retained as platform/tool reference, not a dataset. Do not treat as geospatial dataset unless document context makes platform use analytically relevant.","web seeded - platform, not source dataset"
DS-006,MapBiomas Alerta,https://alerta.mapbiomas.org/,Public MapBiomas Alerta platform; used as an alert/reporting source in Brazilian deforestation monitoring contexts.,web verified - public MapBiomas source
DS-029,Forest 500 datasets,https://forest500.org/forest-500-data-methods/,Forest 500 data and methods page describes assessment methodologies and downloadable datasets.,web verified - official Forest 500
DS-039,Open Foris Collect Earth,https://openforis.org/tools/collect-earth/,Retained as tool/platform reference.,"web seeded - platform, not source dataset"
DS-002,PRODES Cerrado — Monitoramento Anual da Supressão da Vegetação Nativa no Cerrado,https://terrabrasilis.dpi.inpe.br/,Official TerraBrasilis/INPE source; PRODES data for Brazilian biomes are disseminated through TerraBrasilis.,web verified - official INPE/TerraBrasilis
DS-028,GeoRSPO,https://rspo.org/as-an-organisation/tools/georspo/,GeoRSPO is an interactive mapping platform with RSPO member concession boundaries and related layers.,web verified - official RSPO page and user-supplied PDF conversion
DS-024,Cadastro de Empregadores — trabalho análogo à escravidão (“Lista Suja”),https://www.gov.br/trabalho-e-emprego/,Corpus references to Lista Suja/slave labor list are mapped to the official MTE employer registry.,web verified - official MTE news/source pages
DS-036,Terra-i,https://www.terra-i.org/,Mapped where Terra-i is directly mentioned.,web seeded - official project URL recommended
DS-031,Preferred by Nature Sourcing Hub risk data,https://sourcinghub.preferredbynature.org/,Sourcing Hub risk assessment methodology describes risk data and country risk assessments.,web verified - user-supplied converted PDF and public site
DS-033,FAOSTAT,https://www.fao.org/faostat/,FAOSTAT references are harmonized to FAO statistical database.,web seeded - official FAO URL recommended
DS-032,Agroideal,https://agroideal.org/,Mapped where Agroideal is directly mentioned; verify exact dataset or tool role in Stage C/D.,web seeded - official platform URL recommended
DS-034,OpenStreetMap,https://www.openstreetmap.org/,"OpenStreetMap official pages describe OSM as open geographic data about roads, land use, and other features.",web verified - official OSM pages
DS-038,SEPAL,https://sepal.io/,Retained as tool/platform reference.,"web seeded - platform, not source dataset"
DS-035,Imazon SAD — Sistema de Alerta de Desmatamento,https://imazon.org.br/,Mapped where SAD/Imazon is directly mentioned; source URL should be refined to exact SAD page if needed.,web seeded - official organization URL recommended
DS-004,TerraClass — Land Use and Land Cover in Deforested Areas of the Amazon and Cerrado,https://www.terraclass.gov.br/,Official TerraClass site and INPE pages describe TerraClass as mapping/qualifying land use and land cover in areas with native vegetation removal.,web verified - official TerraClass/INPE
