candidate_dataset_mention_original,normalized_mention,mapped_dataset_id,preferred_dataset_name,dataset_provider,mapping_status,mapping_confidence,documents_referencing_raw_string,total_page_rows_raw_string,total_page_occurrences_raw_string,match_type_stageA,candidate_family_hint_stageA,stageB_notes
Global Forest Change,global forest change,DS-008,Hansen Global Forest Change,Hansen/UMD/Google/USGS/NASA,canonicalized,high,8,12,16,seed_term,forest/land-cover monitoring dataset,Mapped by curated Stage B variant dictionary.
SICAR,sicar,DS-018,Cadastro Ambiental Rural (CAR) / SICAR,Serviço Florestal Brasileiro / Government of Brazil,canonicalized,high,8,9,16,seed_term,official registry / boundary / compliance list,Mapped by curated Stage B variant dictionary.
INCRA,incra,DS-023,INCRA/SIGEF/SNCI rural land tenure geospatial systems,Instituto Nacional de Colonização e Reforma Agrária (INCRA),canonicalized,high,8,10,13,seed_term,official registry / boundary / compliance list,Mapped by curated Stage B variant dictionary.
shapefile,shapefile,,,,generic_cue_not_canonicalized,low,8,11,13,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Datasets,datasets,,,,generic_cue_not_canonicalized,low,7,10,25,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
WDPA,wdpa,DS-022,WDPA — World Database on Protected Areas,UNEP-WCMC & IUCN,canonicalized,high,7,11,22,seed_term,official registry / boundary / compliance list,Mapped by curated Stage B variant dictionary.
Tree Cover Loss,tree cover loss,DS-008,Hansen Global Forest Change,Hansen/UMD/Google/USGS/NASA,canonicalized,high,7,13,21,seed_term,seed term,Mapped by curated Stage B variant dictionary.
RADD,radd,DS-010,RADD Forest Disturbance Alerts,"Wageningen University, Satelligence & World Resources Institute",canonicalized,high,7,11,15,seed_term,forest/land-cover monitoring dataset,Mapped by curated Stage B variant dictionary.
SIGEF,sigef,DS-023,INCRA/SIGEF/SNCI rural land tenure geospatial systems,Instituto Nacional de Colonização e Reforma Agrária (INCRA),canonicalized,high,7,9,15,seed_term,official registry / boundary / compliance list,Mapped by curated Stage B variant dictionary.
indigenous lands,indigenous lands,DS-020,FUNAI Terras Indígenas geospatial data,Fundação Nacional dos Povos Indígenas (FUNAI),canonicalized,high,7,12,15,seed_term,official registry / boundary / compliance list,Mapped by curated Stage B variant dictionary.
land cover map,land cover map,,,,generic_cue_not_canonicalized,low,7,11,14,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
satellite image,satellite image,,,,generic_cue_not_canonicalized,low,7,11,13,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Prodes,prodes,DS-001,PRODES Amazônia — Monitoramento do Desmatamento da Floresta Amazônica Brasileira por Satélite,Instituto Nacional de Pesquisas Espaciais (INPE),canonicalized,high,7,9,11,seed_term,forest/land-cover monitoring dataset,Mapped by curated Stage B variant dictionary.
boundary data,boundary data,,,,generic_cue_not_canonicalized,low,7,11,11,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
FUNAI,funai,DS-020,FUNAI Terras Indígenas geospatial data,Fundação Nacional dos Povos Indígenas (FUNAI),canonicalized,high,7,8,9,seed_term,official registry / boundary / compliance list,Mapped by curated Stage B variant dictionary.
Conservation Units,conservation units,DS-021,CNUC — Cadastro Nacional de Unidades de Conservação,Ministério do Meio Ambiente e Mudança do Clima (Brazil),canonicalized,high,6,19,35,seed_term,official registry / boundary / compliance list,Mapped by curated Stage B variant dictionary.
HCVRN,hcvrn,,,,framework_or_assessment_reference_needs_review,medium,6,22,33,seed_term,assessment framework / dataset-like source,"Could indicate geospatial assessments or frameworks, but not canonicalized as a dataset in Stage B."
Universal Mill List,universal mill list,DS-027,Universal Mill List,Rainforest Alliance / World Resources Institute / Proforest / Daemeter,canonicalized,high,6,19,22,seed_term,platform/tool/derived dataset,Mapped by curated Stage B variant dictionary.
QGIS,qgis,,,,tool_or_platform_not_dataset,medium,6,15,19,seed_term,seed term,Software/platform reference retained but excluded from canonical dataset registry unless analytically needed.
Rural Environmental Registry,rural environmental registry,DS-018,Cadastro Ambiental Rural (CAR) / SICAR,Serviço Florestal Brasileiro / Government of Brazil,canonicalized,high,6,13,17,seed_term,seed term,Mapped by curated Stage B variant dictionary.
Tree cover loss,tree cover loss,DS-008,Hansen Global Forest Change,Hansen/UMD/Google/USGS/NASA,canonicalized,high,6,9,16,seed_term,seed term,Mapped by curated Stage B variant dictionary.
Earth Engine,earth engine,DS-037,Google Earth Engine,Google,canonicalized,high,6,11,14,seed_term,seed term,Mapped by curated Stage B variant dictionary.
Google Earth Engine,google earth engine,DS-037,Google Earth Engine,Google,canonicalized,high,6,10,11,seed_term,seed term,Mapped by curated Stage B variant dictionary.
Cadastro Ambiental Rural,cadastro ambiental rural,DS-018,Cadastro Ambiental Rural (CAR) / SICAR,Serviço Florestal Brasileiro / Government of Brazil,canonicalized,high,6,10,10,seed_term,official registry / boundary / compliance list,Mapped by curated Stage B variant dictionary.
Forest 500,forest 500,DS-029,Forest 500 datasets,Global Canopy,canonicalized,high,5,31,99,seed_term,platform/tool/derived dataset,Mapped by curated Stage B variant dictionary.
polygon data,polygon data,,,,generic_cue_not_canonicalized,low,5,22,46,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
GFW Pro,gfw pro,DS-007,Global Forest Watch,World Resources Institute,canonicalized,high,5,15,22,seed_term,forest/land-cover monitoring dataset,Mapped by curated Stage B variant dictionary.
Geospatial data,geospatial data,,,,generic_cue_not_canonicalized,low,5,10,17,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
HCV assessments,hcv assessments,,,,framework_or_assessment_reference_needs_review,medium,5,15,17,seed_term,assessment framework / dataset-like source,"Could indicate geospatial assessments or frameworks, but not canonicalized as a dataset in Stage B."
Satellite Imagery,satellite imagery,,,,generic_cue_not_canonicalized,low,5,8,16,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
MAPBIOMAS,mapbiomas,DS-005,MapBiomas Annual Land Cover and Land Use Collection,Projeto MapBiomas,canonicalized,high,5,5,15,seed_term,forest/land-cover monitoring dataset,Mapped by curated Stage B variant dictionary.
WHISP,whisp,DS-030,Whisp — convergence-of-evidence forest-data solution,Forest Data Partnership / AIM4Forests,canonicalized,high,5,11,14,seed_term,platform/tool/derived dataset,Mapped by curated Stage B variant dictionary.
shapefiles,shapefiles,,,,generic_cue_not_canonicalized,low,5,9,14,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Terras Indígenas,terras indigenas,DS-020,FUNAI Terras Indígenas geospatial data,Fundação Nacional dos Povos Indígenas (FUNAI),canonicalized,high,5,11,13,seed_term,seed term,Mapped by curated Stage B variant dictionary.
PRODES Cerrado,prodes cerrado,DS-002,PRODES Cerrado — Monitoramento Anual da Supressão da Vegetação Nativa no Cerrado,Instituto Nacional de Pesquisas Espaciais (INPE),canonicalized,high,5,6,11,seed_term,forest/land-cover monitoring dataset,Mapped by curated Stage B variant dictionary.
land cover maps,land cover maps,,,,generic_cue_not_canonicalized,low,5,9,9,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
deforestation alert,deforestation alert,,,,generic_cue_not_canonicalized,low,5,6,8,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
trase,trase,DS-026,Trase / SEI-PCS supply chain mapping data,Trase / Stockholm Environment Institute / Global Canopy,canonicalized,high,5,5,8,seed_term,platform/tool/derived dataset,Mapped by curated Stage B variant dictionary.
NICFI,nicfi,DS-017,Planet satellite imagery / NICFI Satellite Data Program,Planet Labs / Norway International Climate and Forest Initiative,canonicalized,high,5,7,7,seed_term,remote sensing imagery/source,Mapped by curated Stage B variant dictionary.
World Database on Protected Areas,world database on protected areas,DS-022,WDPA — World Database on Protected Areas,UNEP-WCMC & IUCN,canonicalized,high,5,6,6,seed_term,seed term,Mapped by curated Stage B variant dictionary.
GeoRSPO,georspo,DS-028,GeoRSPO,Roundtable on Sustainable Palm Oil (RSPO) / World Resources Institute,canonicalized,high,4,10,23,seed_term,platform/tool/derived dataset,Mapped by curated Stage B variant dictionary.
risk map,risk map,,,,generic_cue_not_canonicalized,low,4,9,22,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Data Sources,data sources,,,,generic_cue_not_canonicalized,low,4,6,14,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
deforestation alert system,deforestation alert system,DS-009,GLAD Deforestation Alerts,University of Maryland GLAD Lab / Global Forest Watch,canonicalized,high,4,5,9,seed_term,forest/land-cover monitoring dataset,Mapped by curated Stage B variant dictionary.
Shapefile,shapefile,,,,generic_cue_not_canonicalized,low,4,5,8,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
risk maps,risk maps,,,,generic_cue_not_canonicalized,low,4,6,8,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Deforestation data,deforestation data,,,,generic_cue_not_canonicalized,low,4,6,7,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
land cover data,land cover data,,,,generic_cue_not_canonicalized,low,4,6,7,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
ACOP,acop,,,,unmapped_needs_review,low,4,5,5,seed_term,platform/tool/derived dataset,No Stage B canonical mapping assigned. Review context snippets before Stage C.
Google Maps,google maps,,,,tool_or_platform_not_dataset,medium,4,5,5,seed_term,seed term,Software/platform reference retained but excluded from canonical dataset registry unless analytically needed.
Unidades de Conservação,unidades de conservacao,DS-021,CNUC — Cadastro Nacional de Unidades de Conservação,Ministério do Meio Ambiente e Mudança do Clima (Brazil),canonicalized,high,4,4,5,seed_term,seed term,Mapped by curated Stage B variant dictionary.
land use map,land use map,,,,generic_cue_not_canonicalized,low,4,5,5,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Data source,data source,,,,generic_cue_not_canonicalized,low,4,4,4,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
MAPBIOMAS Alerta,mapbiomas alerta,DS-006,MapBiomas Alerta,Projeto MapBiomas,canonicalized,high,4,4,4,seed_term,forest/land-cover monitoring dataset,Mapped by curated Stage B variant dictionary.
Satellite images,satellite images,,,,generic_cue_not_canonicalized,low,4,4,4,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
map layers,map layers,,,,generic_cue_not_canonicalized,low,4,4,4,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
UML,uml,DS-027,Universal Mill List,Rainforest Alliance / World Resources Institute / Proforest / Daemeter,canonicalized,high,3,14,100,seed_term,seed term,Mapped by curated Stage B variant dictionary.
Sourcing Hub,sourcing hub,DS-031,Preferred by Nature Sourcing Hub risk data,Preferred by Nature,canonicalized,high,3,9,19,seed_term,platform/tool/derived dataset,Mapped by curated Stage B variant dictionary.
FAOSTAT,faostat,DS-033,FAOSTAT,Food and Agriculture Organization of the United Nations,canonicalized,high,3,9,13,seed_term,seed term,Mapped by curated Stage B variant dictionary.
Geospatial Data,geospatial data,,,,generic_cue_not_canonicalized,low,3,5,10,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
remote sensing products,remote sensing products,,,,generic_cue_not_canonicalized,low,3,3,9,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
high conservation value,high conservation value,,,,framework_or_assessment_reference_needs_review,medium,3,5,8,seed_term,assessment framework / dataset-like source,"Could indicate geospatial assessments or frameworks, but not canonicalized as a dataset in Stage B."
map layer,map layer,,,,generic_cue_not_canonicalized,low,3,6,8,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Databases,databases,,,,generic_cue_not_canonicalized,low,3,3,7,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Lista Suja,lista suja,DS-024,Cadastro de Empregadores — trabalho análogo à escravidão (“Lista Suja”),Ministério do Trabalho e Emprego (Brazil),canonicalized,high,3,3,6,seed_term,seed term,Mapped by curated Stage B variant dictionary.
deforestation layer,deforestation layer,,,,generic_cue_not_canonicalized,low,3,5,6,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
concession boundaries,concession boundaries,,,,generic_cue_not_canonicalized,low,3,4,5,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
GIS data,gis data,,,,generic_cue_not_canonicalized,low,3,4,4,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Open Foris,open foris,DS-039,Open Foris Collect Earth,Food and Agriculture Organization of the United Nations,canonicalized,high,3,4,4,seed_term,seed term,Mapped by curated Stage B variant dictionary.
deforestation dataset,deforestation dataset,,,,generic_cue_not_canonicalized,low,3,4,4,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
HCSA assessments,hcsa assessments,,,,framework_or_assessment_reference_needs_review,medium,3,3,3,seed_term,assessment framework / dataset-like source,"Could indicate geospatial assessments or frameworks, but not canonicalized as a dataset in Stage B."
Terra-i,terra i,DS-036,Terra-i,Alliance of Bioversity International and CIAT / partners,canonicalized,high,3,3,3,seed_term,seed term,Mapped by curated Stage B variant dictionary.
land use data,land use data,,,,generic_cue_not_canonicalized,low,3,3,3,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
mapbiomas,mapbiomas,DS-005,MapBiomas Annual Land Cover and Land Use Collection,Projeto MapBiomas,canonicalized,high,3,3,3,seed_term,forest/land-cover monitoring dataset,Mapped by curated Stage B variant dictionary.
FREL,frel,,,,unmapped_needs_review,low,2,36,178,seed_term,seed term,No Stage B canonical mapping assigned. Review context snippets before Stage C.
SEI-PCS,sei pcs,DS-026,Trase / SEI-PCS supply chain mapping data,Trase / Stockholm Environment Institute / Global Canopy,canonicalized,high,2,13,71,seed_term,platform/tool/derived dataset,Mapped by curated Stage B variant dictionary.
Whisp,whisp,DS-030,Whisp — convergence-of-evidence forest-data solution,Forest Data Partnership / AIM4Forests,canonicalized,high,2,15,46,seed_term,platform/tool/derived dataset,Mapped by curated Stage B variant dictionary.
land cover datasets,land cover datasets,,,,generic_cue_not_canonicalized,low,2,11,13,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Agroideal,agroideal,DS-032,Agroideal,Agroideal,canonicalized,high,2,6,11,seed_term,platform/tool/derived dataset,Mapped by curated Stage B variant dictionary.
Collect Earth,collect earth,DS-039,Open Foris Collect Earth,Food and Agriculture Organization of the United Nations,canonicalized,high,2,7,10,seed_term,seed term,Mapped by curated Stage B variant dictionary.
boundary map,boundary map,,,,generic_cue_not_canonicalized,low,2,10,10,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Satellite imagery,satellite imagery,,,,generic_cue_not_canonicalized,low,2,6,9,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Satellite Data,satellite data,,,,generic_cue_not_canonicalized,low,2,5,8,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
arcgis,arcgis,,,,tool_or_platform_not_dataset,medium,2,7,8,seed_term,seed term,Software/platform reference retained but excluded from canonical dataset registry unless analytically needed.
DATABASE,database,,,,generic_cue_not_canonicalized,low,2,2,6,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Deforestation Alert,deforestation alert,,,,generic_cue_not_canonicalized,low,2,3,6,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
SRTM,srtm,,,,unmapped_needs_review,low,2,4,5,seed_term,remote sensing imagery/source,No Stage B canonical mapping assigned. Review context snippets before Stage C.
Agrosatelite,agrosatelite,DS-040,Agrosatélite mapping products,Agrosatélite,canonicalized,high,2,3,4,seed_term,seed term,Mapped by curated Stage B variant dictionary.
Embargo List,embargo list,DS-019,IBAMA environmental embargo registry,Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (IBAMA),canonicalized,high,2,3,4,seed_term,official registry / boundary / compliance list,Mapped by curated Stage B variant dictionary.
Preferred by Nature Sourcing Hub,preferred by nature sourcing hub,DS-031,Preferred by Nature Sourcing Hub risk data,Preferred by Nature,canonicalized,high,2,3,4,seed_term,platform/tool/derived dataset,Mapped by curated Stage B variant dictionary.
Remote sensing data,remote sensing data,,,,generic_cue_not_canonicalized,low,2,3,4,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
agrosatelite,agrosatelite,DS-040,Agrosatélite mapping products,Agrosatélite,canonicalized,high,2,4,4,seed_term,seed term,Mapped by curated Stage B variant dictionary.
deforestation map,deforestation map,,,,generic_cue_not_canonicalized,low,2,2,4,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
land use maps,land use maps,,,,generic_cue_not_canonicalized,low,2,4,4,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Deforestation Alerts,deforestation alerts,,,,generic_cue_not_canonicalized,low,2,2,3,generic_dataset_cue,generic candidate cue,Generic cue preserved in raw mentions but not treated as a dataset name without context.
Hansen Tree Cover Loss,hansen tree cover loss,DS-008,Hansen Global Forest Change,Hansen/UMD/Google/USGS/NASA,canonicalized,high,2,3,3,seed_term,forest/land-cover monitoring dataset,Mapped by curated Stage B variant dictionary.
High conservation value,high conservation value,,,,framework_or_assessment_reference_needs_review,medium,2,2,3,seed_term,assessment framework / dataset-like source,"Could indicate geospatial assessments or frameworks, but not canonicalized as a dataset in Stage B."
